"stop_name","lines"
"Bremen Achterdiek","31"
"Bremen Agnes-Heineken-Straße","22, 29"
"Bremen Ahrensstraße","24, 24E, 62, 63"
"Bremen Akazienstraße","24, 24E, N3"
"Bremen Albert-Bischof-Straße","31"
"Bremen Albert-Bote-Straße","63"
"Bremen Alfred-Faust-Straße","27, 27E, N9"
"Bremen Allerkai","29"
"Bremen Altenescher Straße","10, 1E, 2, 6E, N10"
"Bremen Alter Schutzdeich","63"
"Bremen Am Bahnhof St. Magnus","90, 91, 92, N7"
"Bremen Am Brill (Bgm.-Smidt-Straße)","1, 1E, 26, 27, 2E, 3, 6, 63, 6E, 8E, E, N1, N9"
"Bremen Am Brill (Hutfilter-/Obernstraße)","2, 3, 5, 8E"
"Bremen Am Brill (Martinistraße)","25"
"Bremen Am Dammacker","1E, 4, 6E, N4"
"Bremen Am Dobben","1, 10, 10E, 1E, 2, 3, 4, 6, 6E, N1, N10, N4"
"Bremen Am Fillerkamp","90E, 91, 92, 96"
"Bremen Am Fuchsberg","81, 90, 93, N7"
"Bremen Am Gaswerkgraben","63"
"Bremen Am Geestkamp","90, 91, 92, 93, N7"
"Bremen Am Glockenstein","24E, 62"
"Bremen Am Großen Kuhkamp","37, 37E, N3"
"Bremen Am Hahnenkamp","37, N3"
"Bremen Am Hallacker","33, 34, N3"
"Bremen Am Heidbergstift","90, 92, N7"
"Bremen Am Heiddamm","33, 33E, 34, 34E, N3"
"Bremen Am Hulsberg","10, 2, N10"
"Bremen Am Kapellenberg","94"
"Bremen Am Lehester Deich","1E, 31, 4, 6E, N4"
"Bremen Am Neuen Markt","1, 1E, 24, 24E, 2E, 3, 6, 6E, 8, E, N3"
"Bremen Am Querkamp","33, 33E"
"Bremen Amselweg","20"
"Bremen Am Siek","37, N3"
"Bremen Am Sodenmatt","57, N6"
"Bremen Am Stern","22, 22E, 24, 6, 6E, 8, N3, N9"
"Bremen Am Tabakquartier","63"
"Bremen Am Wall","1, 1E, 26, 27, 6, 63, E, N1, N9"
"Bremen An den Wühren","33, 33E"
"Bremen An der Amtsweide","90, 90E, N7"
"Bremen An der Kämenade","33, 34, 37"
"Bremen An der Lehmkuhle","90E, 91, 92, 95, 96"
"Bremen Anna-Stiegler-Straße","22, 29, 52"
"Bremen An Smidts Park","90, 91, 92, 93, N7"
"Bremen Apfelallee","33, 33E, 34, 34E, N3"
"Bremen Arberger Hafendamm","29, 42"
"Bremen Arensburgstraße","22, 22E"
"Bremen Arsten","1E, 4, 6E, N4"
"Bremen Arsterdamm","27, 27E, 52, N9"
"Bremen Arster Kirche","26, N9"
"Bremen Arster Landstraße","26, N9"
"Bremen Ascherfeld","98"
"Bremen Auf dem Bohnenkamp","63"
"Bremen Auf dem Flintacker","90E"
"Bremen Auf dem Krümpel","90, 91, 92, N7"
"Bremen Auf dem Pasch","94"
"Bremen Auf den Delben","81, 91, 92"
"Bremen Auf der Sandhöhe","61"
"Bremen August-Bebel-Allee","24, N9"
"Bremen August-Hinrichs-Straße","26, 27, N9"
"Bremen Aumunder Heide","90, 90E, 94, 95"
"Bremen Aumunder Kirche","98"
"Bremen Bahnhof Aumund","90, 90E, 95"
"Bremen Bahnhof Blumenthal","90, 90E, 91, 92, 94, 95, 96, N7"
"Bremen Bahnhof Farge","90, 90E, N7"
"Bremen Bahnhof Kreinsloger","90E, 91, 92, N7"
"Bremen Bahnhof Lesum","90, N7"
"Bremen Bahnhof Neustadt","24, 24E, 63, N3"
"Bremen Bahnhof Oberneuland","33, 33E, 34, 34E, N3"
"Bremen Bahnhof Oslebshausen","81"
"Bremen Bahnhof Schönebeck","90, 91, 92, N7"
"Bremen Bahnhof Sebaldsbrück","10, 2, 21, 21E, 2E, 3, 41E, N10"
"Bremen Bahnhof Turnerstraße","91, 92"
"Bremen Bahnhof Vegesack","90, 90E, 91, 92, 94, 95, 98, N7"
"Bremen Bahnhof Walle","10, 10E, 1E, 2, 20, 26, 2E, 6E, N10, N7"
"Bremen Bakeweg","24, 61, 62, N3"
"Bremen Barbarossastraße","1, 1E, 4, 6E, N1, N4"
"Bremen Bardenflethstraße","1, 1E, 52, 8, 8E, N1"
"Bremen Bayernstraße","20"
"Bremen Beckers Barg","93, 94, N7"
"Bremen Bei den Drei Pfählen","10, 2, 22, 22E, N10"
"Bremen Beim Bohnenhof","37, 37E, N3"
"Bremen Beim Kleinen Tagwerk","34, 34E, N3"
"Bremen Belmerstraße","40, 41, 41E, 42, 44, N5"
"Bremen Bennigsenstraße","10, 2, 2E, 3, N10"
"Bremen Bergener Straße","29, 42"
"Bremen Berliner Freiheit","1, 1E, 1S, 21E, 29, 4, 6E, N1, N4"
"Bremen Bernauer Straße","20"
"Bremen Berufsbildungswerk","21, 21E, 31, 6, 6E, N3"
"Bremen Besanstraße","95, 96, N7"
"Bremen Betonstraße","90, 90E, N7"
"Bremen Betriebshof Blumenthal","90E, 95, 96, N7"
"Bremen Bf Klinikum Bremen-Nord","90, 90E, 94, 95"
"Bremen Bf Mahndorf","1, 1E, 37, 37E, 38, 39, 40, 41, 41E, 44, 6E, N1, N3, N5"
"Bremen Blumenhorster Straße","90, 90E, 95"
"Bremen Blumenkamp","91"
"Bremen-Blumenthal Markt","90, 90E, 91, 92"
"Bremen Bockhorner Weg","94"
"Bremen Bollener Landstraße","38, 39, 41E"
"Bremen Borchsholt","98"
"Bremen Bordeaux-Straße","29, 42"
"Bremen Borgfeld","1E, 4, 6E, N4"
"Bremen Borgfeld-Ost","31"
"Bremen Borgwardstraße","22"
"Bremen Bottroper Straße","21, 25, 29"
"Bremen Brahmsstraße","6, 6E, 8, N3"
"Bremen Brandenburger Straße","24, N9"
"Bremen Bremervörder Straße","20"
"Bremen Bremer Vulkan","91, 92, 94, N7"
"Bremen Brenningstraße","26, N9"
"Bremen Bromberger Straße","82"
"Bremen Bruchhauser Straße","22, 29"
"Bremen Brunnenstraße","10, 1E, 2, 3, N10"
"Bremen Brünsweg","40, 41, 41E, 44, N5"
"Bremen Brüsseler Straße","57, 58, N6"
"Bremen BSAG-Zentrum","1, 1E, 2, 2E, 3, 4, 52, 6, 6E, 8, N1, N4"
"Bremen Bulthauptstraße","8, N3"
"Bremen-Burg(Bus)","90, 91, 92, 93, 94, N7"
"Bremen Burgdammer Postweg","90, 92, N7"
"Bremen Burgdammer Ring","93, 94, N7"
"Bremen Burger Dorfstraße","90, 91, 92, 93, N7"
"Bremen Bürgermeister-Kaisen-Allee","31"
"Bremen Bürgermeister-Spitta-Allee","1E, 21, 21E, 31, 4, 6E, N4"
"Bremen Bürgerpark","24, 26, 27, 3, 5, 6E, N7"
"Bremen Buschdeel","90, 90E, N7"
"Bremen Buschdeel/Wendeplatz","91, 92"
"Bremen Busestraße","22, 22E, 8"
"Bremen Busestraße/Bürgerpark","N3"
"Bremen Campingplatz","28"
"Bremen Carl-Goerdeler-Straße","1, 1E, 29, 4, 6E, N1, N4"
"Bremen Carl-Hurtzig-Straße","57, 58"
"Bremen Carsten-Dreßler-Straße","26, N9"
"Bremen Celsiusstraße","28"
"Bremen Christernstraße","29, 40, 41, 41E, 42, 44, N5"
"Bremen Colshornstraße","40, N5"
"Bremen Cornelius-Edzard-Straße","52"
"Bremen Crüsemannallee","22, 22E, 8, N3"
"Bremen Cuxhavener Straße","26"
"Bremen Daniel-Jacobs-Allee","1E, 4, 6E, N4"
"Bremen Daniel-von-Büren-Straße","10, 10E, 1E, 2, 25, 3, 5, N10"
"Bremen De Kreienbarg","90, 90E, N7"
"Bremen Delfter Straße","57, N6"
"Bremen Deliusweg","31"
"Bremen Delmestraße","26, 27, N9"
"Bremen DIAKO Bremen","81, 90, 93, N7"
"Bremen Dietrich-Bonhoeffer-Straße","1, 1E, 4, 6E, N1, N4"
"Bremen Dillener Park","90, 90E, N7"
"Bremen Dirschauer Straße","82"
"Bremen Dithmarscher Freiheit","26, N7"
"Bremen Dobbenweg","25, N5"
"Bremen Dobbheide","90E, 98"
"Bremen Dohlenstraße","81, 90, 93, N7"
"Bremen Domsheide","1, 1E, 2, 24, 24E, 25, 3, 4, 4E, 6, 6E, 8, 8E, E, N1, N3, N4, N5"
"Bremen Dortmunder Straße","52"
"Bremen Dötlinger Straße","24, 24E, N3"
"Bremen Doventor","2, 25, 2E, 3, 6E"
"Bremen Doventorsteinweg","10, 10E, 1E, N10"
"Bremen Duckwitzstraße","1, 1E, 8, 8E, N1"
"Bremen Düsseldorfer Straße","1, 1E, 1S, 6E, N1"
"Bremen Eduard-Schopf-Allee","3, 5, 6E"
"Bremen Egestorff-Stiftung","37, 37E, N3"
"Bremen Eggestedter Straße","90E, 91, 92, 95, 96, N7"
"Bremen Ehrenfelsstraße","26"
"Bremen Eickedorfer Straße","26, 27, N7"
"Bremen Einkaufszentrum Blockdiek","25"
"Bremen Elisabethstraße","3, 5, 6E"
"Bremen Ellenerbrokstraße","1, 1E, 1S, 6E, N1"
"Bremen Emder Straße","3, 6E, N7"
"Bremen Emmastraße","6, 6E"
"Bremen Emmastraße/Bürgerpark","N3"
"Bremen Emmentaler Straße","25"
"Bremen Engadiner Straße","1, 1E, 1S, 6E, N1"
"Bremen Eppenhainer Straße","41, 41E, 44, N5"
"Bremen Erich-Kühlmann-Straße","63"
"Bremen Erkelenzer Straße","1, 1E, 1S, 6E, N1"
"Bremen Ermlandstraße","91, 92, 96"
"Bremen Europaallee/Autohof","29, 42"
"Bremen Europaallee-Ost","29, 42"
"Bremen Europahafen","20, 3, 5, 6E"
"Bremen Fähre Blumenthal","90, 90E, 91, 92"
"Bremen Fähre Farge","90, 90E, N7"
"Bremen Fährer Kämpe","90, 90E, 95"
"Bremen Fährgrund","91, 92, 94, N7"
"Bremen Falkenstraße","10, 10E, 1E, 2, 3, 5, N10"
"Bremen Fellendsweg","26, N9"
"Bremen Findorffallee","26, 27, N7"
"Bremen Finkenschlag","91, 94"
"Bremen Flämische Straße","57, 58, N6"
"Bremen Flughafen","52, 6"
"Bremen Flughafen-Süd","6"
"Bremen Focke-Museum","1E, 4, 6E, N4"
"Bremen Föhrenstraße","10, 2, 22E, 2E, 3, 40, 41, 41E, 42, N10"
"Bremen Fontanestraße","26, N9"
"Bremen Franz-Stickan-Straße","63"
"Bremen Fraunhoferstraße","31"
"Bremen Fresenbergstraße","95, 96, N7"
"Bremen Friedhof Huchting","55, 57"
"Bremen Friedhof Huckelriede","26, N9"
"Bremen Friedhofstraße","1E, 4, 6E, N4"
"Bremen Friedrich-Engels-Straße","26, N9"
"Bremen Friedrich-Karl-Straße","25, N5"
"Bremen Friedrich-Mißler-Straße","21, 21E"
"Bremen Friedrich-Stampfer-Straße","24, 29, N9"
"Bremen Fuldahafen","29, 42"
"Bremen Fultonstraße","31"
"Bremen Fürther Straße","25, 26, N7"
"Bremen Gastfeldstraße","1, 1E, 26, 27, 2E, 3, 4, 6, 6E, 8, N1, N4, N9"
"Bremen Gemeinschaftszentrum Obervieland","26, N9"
"Bremen Georg-Bitter-Straße","1E, 2, 22, 22E, 2E, 3"
"Bremen Georg-Gries-Straße","25, N5"
"Bremen Georg-Henschel-Straße","24E, 62, 63"
"Bremen Gerhard-Rohlfs-Straße","90, 90E, 91, 92, 94, 95, 98, N7"
"Bremen Glockenstraße/Bf Hemelingen","29, 40, 41, 41E, 42"
"Bremen Goldbergplatz","90, 92"
"Bremen Goosestraße","3, 6E"
"Bremen Gottfried-Menken-Straße","26, 27, N9"
"Bremen Gottlieb-Daimler-Straße","81"
"Bremen Grasberger Straße","3, 6E, N7"
"Bremen Graubündener Straße","1, 1E, 1S, 6E, N1"
"Bremen Gravestraße","31"
"Bremen Grenzstraße","3, 5, 6E"
"Bremen Grenzwehr","25"
"Bremen Grohn-Markt","91, 94"
"Bremen Gröpelingen","10, 1E, 2, 3, 5S, 6E, 80, 81, 82, 90, 91, 92, 93, N10, N7"
"Bremen Gustav-Heinemann-Bürgerhaus","90, 90E, 91, 92, 94, 95, N7"
"Bremen Gustavstraße","10, 10E, 1E, 2, 2E, 6E, N10"
"Bremen Güterbahnhof Grolland","61"
"Bremen GVZ-Verkehrsgewerbe Ost","63"
"Bremen GVZ-Zentralbereich","63"
"Bremen Habenhauser Brückenstraße","22, 22E, 26, N9"
"Bremen Haferkamp","10, 10E, 1E, 2, 2E, 6E, N10"
"Bremen Haferwende","31"
"Bremen Hakenwehrstraße","95, 96, N7"
"Bremen Halmerweg","82"
"Bremen Hanfstraße","90, 90E, N7"
"Bremen Hannoversche Straße","29, 40, 41, 41E, 42"
"Bremen Hansator","3, 5, 6E"
"Bremen Hansestraße","10, 10E, 1E, 2, 2E, 6E, N10"
"Bremen Harriersand","58, N6"
"Bremen Hasenbüren","24E, 62"
"Bremen Hasenbürener Deich","24E, 62"
"Bremen Hasenbüren Hagens","24E, 62"
"Bremen Hauptbahnhof","1, 10, 10E, 1E, 2, 24, 24E, 25, 26, 27, 3, 4, 4E, 5, 6, 63, 6E, 8, E, N1, N10, N3, N4, N5, N7, N9"
"Bremen Hauptbahnhof-Nord/Messe","24, 26, 27, 5, 6, 6E, 8, N3, N7, N9"
"Bremen Hegeweg","94"
"Bremen Heiligenbergstraße","37, 37E, N3"
"Bremen Heinrich-Hertz-Straße","21, 21E, 24, N9"
"Bremen Heinz-Hinners-Platz","33, 34, 37, N3"
"Bremen Heisiusstraße","40, N5"
"Bremen Helene-Lange-Straße","26, N9"
"Bremen Helmer","21, 21E, 31, N3"
"Bremen Helsingborger Straße","93, 94, N7"
"Bremen Hemmstraße","25, 26, 27, N7"
"Bremen Herbartstraße","98"
"Bremen Herbststraße","25"
"Bremen Herdentor","1, 1E, 2, 24, 24E, 25, 4, 4E, 5, 6, 6E, 8, N1, N3, N4, N5"
"Bremen Hermann-Frese-Straße","31"
"Bremen Hermann-Funk-Straße","29"
"Bremen Hermann-Helms-Straße","26, N9"
"Bremen Hermann-Koenen-Straße","21, 25, 29, N5"
"Bremen Hermann-Osterloh-Straße","40, 41, 41E, 44, N5"
"Bremen Heukämpendamm","1E, 4, 6E, N4"
"Bremen Hexenstieg","38, 39, 41E"
"Bremen H.-H.-Meier-Allee","6, 6E"
"Bremen Hochschule Bremen","1, 1E, 26, 27, 63, 8, 8E, N1, N9"
"Bremen Höger Weg","1E, 4, 6E, N4"
"Bremen Hohenbuchener Straße","94"
"Bremen Hohenesch","90, 90E, N7"
"Bremen Hohenhorster Weg","55, 57, N6"
"Bremen Hohentorsplatz","24, 24E, 63, N3"
"Bremen Hohweg","20"
"Bremen Hohwisch","10, 1E, 2, 2E, 3"
"Bremen Hollerallee","1, 10, 1E, 4, 6E, N1, N4"
"Bremen Holsteiner Straße","20, 26, N7"
"Bremen Holthorster Weg","90, 91, 92, N7"
"Bremen Holzweide","38, 39, 41E"
"Bremen Höpkens Ruh","33, 33E"
"Bremen Horner Mühle","1E, 33, 33E, 34, 34E, 4, 6E, N3, N4"
"Bremen Horn (Horner Kirche)","1E, 21, 21E, 31, 33, 33E, 34, 34E, 4, 6E, N4"
"Bremen Huckelriede","1E, 26, 27, 27E, 4, 6E, N4, N9"
"Bremen Huder Straße","24, 24E, N3"
"Bremen Humboldtstraße","10, 10E, 1E, 2, 3, 6, 6E, N10"
"Bremen Hüttenhafen","80, 91, 92"
"Bremen Hüttenstraße Süd","80, 81"
"Bremen Ikensdamm","33E, 34E"
"Bremen Im Achterkamp","31"
"Bremen Im Holter Feld","25, 29, N5"
"Bremen Im Holze","33, 33E"
"Bremen In den Barken","82"
"Bremen In der Laake","26, N9"
"Bremen Innsbrucker Straße","27"
"Bremen Jadestraße","3, 6E"
"Bremen Johann-Bornemacher-Straße","20"
"Bremen Joseph-Haydn-Straße","6, 6E"
"Bremen Julius-Brecht-Allee","1, 10, 1E, 25, 4, 6E, N1, N4, N5"
"Bremen Kalischer Straße","82"
"Bremen Kap-Horn-Straße","3, 6E"
"Bremen Kapitän-König-Weg","33, 33E"
"Bremen Karl-Bröger-Straße","81, 90, 93, N7"
"Bremen Karl-Carstens-Brücke","22, 22E"
"Bremen Karl-Peters-Straße","20"
"Bremen Kaspar-Ohm-Straße","98"
"Bremen Kattenescher Weg","27, 27E, N9"
